sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
30,257090,-1,Feature 5,4,-0.006249135976183706,0.629321277141571
30,257090,-1,FIS,5,0.004259654824714266,-0.2514183223247528
30,257090,-1,Ag,6,0.002256641886194449,-0.11365094780921936
30,257090,-1,As,7,0.011714254346479248,-0.3515820801258087
30,257090,-1,Au,8,-0.02708489358222631,-0.36469554901123047
30,257090,-1,Cu,9,-0.010292908240943881,-0.4429081678390503
30,257090,-1,Sb,10,0.00752427384759309,0.06591038405895233
30,257090,-1,ΔT,11,0.054701246187959386,2.5589704513549805
31,117481,-1,Feature 1,0,0.04288906185644093,-0.8522602319717407
31,117481,-1,Feature 2,1,-0.06658483096536302,-1.1897550821304321
31,117481,-1,Feature 3,2,0.03970142182219665,-0.5386330485343933
31,117481,-1,Feature 4,3,0.038953468646920085,-0.7905698418617249
31,117481,-1,Feature 5,4,-0.00195033645576912,0.7975650429725647
31,117481,-1,FIS,5,0.012878733222467376,-0.5813387036323547
31,117481,-1,Ag,6,0.0005876785482754497,1.2479677200317383
31,117481,-1,As,7,-0.021494363121186452,0.754517674446106
31,117481,-1,Au,8,0.028639238998518654,0.48696669936180115
31,117481,-1,Cu,9,0.01823290107970734,-0.29866352677345276
31,117481,-1,Sb,10,0.004301314424869732,0.15362517535686493
31,117481,-1,ΔT,11,0.01319029462494679,-0.31511855125427246
32,174557,-1,Feature 1,0,0.008393373311174339,-0.4180382490158081
32,174557,-1,Feature 2,1,0.015441459729382271,0.8488517999649048
